
06.01.2019 20:30:00.00,AUD,Low Impact Expected,AIG Manufacturing Index,49.5,,51.3
06.01.2019 22:50:00.00,JPY,Low Impact Expected,Monetary Base y/y,4.80%,5.80%,6.10%
07.01.2019 06:00:00.00,EUR,Low Impact Expected,German Factory Orders m/m,-1.00%,-0.20%,0.20%
07.01.2019 06:00:00.00,EUR,Low Impact Expected,German Retail Sales m/m,1.40%,0.40%,0.10%
07.01.2019 08:30:00.00,EUR,Low Impact Expected,Sentix Investor Confidence,-1.5,-2,-0.3
07.01.2019 09:00:00.00,EUR,Low Impact Expected,Retail Sales m/m,0.60%,0.20%,0.60%
07.01.2019 14:00:00.00,CAD,Medium Impact Expected,Ivey PMI,59.7,58.1,57.2
07.01.2019 14:00:00.00,USD,High Impact Expected,ISM Services PMI,57.6,59.6,60.7
07.01.2019 23:30:00.00,AUD,Medium Impact Expected,Trade Balance,1.93B,2.18B,2.01B
07.01.2019 23:30:00.00,AUD,Low Impact Expected,ANZ Job Advertisements m/m,0.00%,,-0.40%
08.01.2019 02:35:00.00,JPY,Low Impact Expected,10-y Bond Auction,0.02|4.0,,0.07|3.8
08.01.2019 04:07:00.00,JPY,Low Impact Expected,Consumer Confidence,42.7,42.8,42.9
08.01.2019 05:45:00.00,CHF,Low Impact Expected,Unemployment Rate,2.40%,2.40%,2.40%
08.01.2019 06:00:00.00,EUR,Low Impact Expected,German Industrial Production m/m,-1.90%,0.30%,-0.80%
08.01.2019 06:30:00.00,CHF,Low Impact Expected,Retail Sales y/y,-0.50%,-0.70%,1.00%
08.01.2019 06:45:00.00,EUR,Low Impact Expected,French Trade Balance,-5.1B,-4.9B,-4.1B
08.01.2019 07:30:00.00,GBP,Low Impact Expected,Halifax HPI m/m,2.20%,0.50%,-1.20%
08.01.2019 09:20:00.00,USD,Low Impact Expected,NFIB Small Business Index,104.4,103.1,104.8
08.01.2019 09:37:00.00,GBP,Low Impact Expected,10-y Bond Auction,1.27|2.2,,1.49|2.0
08.01.2019 12:30:00.00,CAD,High Impact Expected,Trade Balance,-2.1B,-2.1B,-0.9B
08.01.2019 14:00:00.00,USD,Low Impact Expected,JOLTS Job Openings,6.89M,7.07M,7.13M
08.01.2019 19:00:00.00,USD,Low Impact Expected,Consumer Credit m/m,22.1B,17.3B,25.0B
08.01.2019 20:30:00.00,AUD,Low Impact Expected,AIG Services Index,52.1,,55.1
08.01.2019 23:00:00.00,JPY,Medium Impact Expected,Average Cash Earnings y/y,2.00%,1.30%,1.50%
08.01.2019 23:00:00.00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-0.20%,,-0.50%
08.01.2019 23:30:00.00,AUD,Medium Impact Expected,Building Approvals m/m,-9.10%,-0.30%,-1.50%
09.01.2019 01:00:00.00,USD,High Impact Expected,President Trump Speaks,,,
09.01.2019 06:00:00.00,EUR,Low Impact Expected,German Trade Balance,19.0B,17.9B,17.3B
09.01.2019 06:30:00.00,CHF,Low Impact Expected,CPI m/m,-0.30%,-0.20%,-0.30%
09.01.2019 07:00:00.00,CHF,Low Impact Expected,Foreign Currency Reserves,729B,,749B
09.01.2019 08:00:00.00,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,10.50%,10.50%,10.60%
09.01.2019 09:00:00.00,EUR,Low Impact Expected,Unemployment Rate,7.90%,8.10%,8.00%
09.01.2019 09:32:00.00,EUR,Low Impact Expected,German 10-y Bond Auction,0.29|1.6,,0.34|1.6
09.01.2019 12:13:00.00,CAD,Low Impact Expected,Housing Starts,213K,207K,224K
09.01.2019 13:00:00.00,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
09.01.2019 14:00:00.00,CAD,High Impact Expected,BOC Monetary Policy Report,,,
09.01.2019 14:00:00.00,CAD,High Impact Expected,BOC Rate Statement,,,
09.01.2019 14:00:00.00,CAD,High Impact Expected,Overnight Rate,1.75%,1.75%,1.75%
09.01.2019 14:30:00.00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
09.01.2019 14:30:00.00,USD,Low Impact Expected,Crude Oil Inventories,-1.7M,-2.4M,0.0M
09.01.2019 15:15:00.00,CAD,High Impact Expected,BOC Press Conference,,,
09.01.2019 15:30:00.00,USD,Medium Impact Expected,FOMC Member Rosengren Speaks,,,
09.01.2019 17:01:00.00,USD,Low Impact Expected,10-y Bond Auction,2.73|2.5,,2.92|2.4
09.01.2019 18:00:00.00,USD,High Impact Expected,FOMC Meeting Minutes,,,
09.01.2019 23:01:00.00,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,-0.70%,-0.30%,-0.50%
10.01.2019 02:35:00.00,JPY,Low Impact Expected,30-y Bond Auction,0.72|4.0,,0.79|3.8
10.01.2019 04:00:00.00,JPY,Low Impact Expected,Leading Indicators,99.30%,99.50%,99.60%
10.01.2019 06:45:00.00,EUR,Low Impact Expected,French Industrial Production m/m,-1.30%,0.00%,1.30%
10.01.2019 08:05:00.00,EUR,Low Impact Expected,Italian Retail Sales m/m,0.70%,0.20%,0.20%
10.01.2019 09:01:00.00,EUR,Low Impact Expected,French 10-y Bond Auction,0.68|1.7,,0.82|1.8
