1/6/2019 20:30,AUD,Low Impact Expected,AIG Manufacturing Index,49.5,,51.3
1/6/2019 22:50,JPY,Low Impact Expected,Monetary Base y/y,4.80%,5.80%,6.10%
1/7/2019 6:00,EUR,Low Impact Expected,German Factory Orders m/m,-1.00%,-0.20%,0.20%
1/7/2019 6:00,EUR,Low Impact Expected,German Retail Sales m/m,1.40%,0.40%,0.10%
1/7/2019 8:30,EUR,Low Impact Expected,Sentix Investor Confidence,-1.5,-2,-0.3
1/7/2019 9:00,EUR,Low Impact Expected,Retail Sales m/m,0.60%,0.20%,0.60%
1/7/2019 14:00,CAD,Medium Impact Expected,Ivey PMI,59.7,58.1,57.2
1/7/2019 14:00,USD,High Impact Expected,ISM Services PMI,57.6,59.6,60.7
1/7/2019 23:30,AUD,Medium Impact Expected,Trade Balance,1.93B,2.18B,2.01B
1/7/2019 23:30,AUD,Low Impact Expected,ANZ Job Advertisements m/m,0.00%,,-0.40%
1/8/2019 2:35,JPY,Low Impact Expected,10-y Bond Auction,0.02|4.0,,0.07|3.8
1/8/2019 4:07,JPY,Low Impact Expected,Consumer Confidence,42.7,42.8,42.9
1/8/2019 5:45,CHF,Low Impact Expected,Unemployment Rate,2.40%,2.40%,2.40%
1/8/2019 6:00,EUR,Low Impact Expected,German Industrial Production m/m,-1.90%,0.30%,-0.80%
1/8/2019 6:30,CHF,Low Impact Expected,Retail Sales y/y,-0.50%,-0.70%,1.00%
1/8/2019 6:45,EUR,Low Impact Expected,French Trade Balance,-5.1B,-4.9B,-4.1B
1/8/2019 7:30,GBP,Low Impact Expected,Halifax HPI m/m,2.20%,0.50%,-1.20%
1/8/2019 9:20,USD,Low Impact Expected,NFIB Small Business Index,104.4,103.1,104.8
1/8/2019 9:37,GBP,Low Impact Expected,10-y Bond Auction,1.27|2.2,,1.49|2.0
1/8/2019 12:30,CAD,High Impact Expected,Trade Balance,-2.1B,-2.1B,-0.9B
1/8/2019 14:00,USD,Low Impact Expected,JOLTS Job Openings,6.89M,7.07M,7.13M
1/8/2019 19:00,USD,Low Impact Expected,Consumer Credit m/m,22.1B,17.3B,25.0B
1/8/2019 20:30,AUD,Low Impact Expected,AIG Services Index,52.1,,55.1
1/8/2019 23:00,JPY,Medium Impact Expected,Average Cash Earnings y/y,2.00%,1.30%,1.50%
1/8/2019 23:00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-0.20%,,-0.50%
