Time,Currency,Impact,Event,Actual,Forecast,Previous,Gmt time,Open,High,Low,Close,Volume,Low Impact,Medium Impact,High Impact
06.01.2019 22:50:00.00,JPY,Low Impact Expected,Monetary Base y/y,4.80%,5.80%,6.10%,108.461,108.466,108.461,108.466,24.38,'Actual' greater than 'Forecast' is good for currency;,1,0,0
07.01.2019 06:00:00.00,EUR,Low Impact Expected,German Factory Orders m/m,-1.00%,-0.20%,0.20%,1.14234,1.14234,1.14224,1.14229,125.53,'Actual' greater than 'Forecast' is good for currency;,2,0,0
07.01.2019 06:00:00.00,EUR,Low Impact Expected,German Retail Sales m/m,1.40%,0.40%,0.10%,1.14234,1.14234,1.14224,1.14229,125.53,'Actual' greater than 'Forecast' is good for currency;,2,0,0
07.01.2019 08:30:00.00,EUR,Low Impact Expected,Sentix Investor Confidence,-1.5,-2,-0.3,1.14353,1.14373,1.14346,1.14370,374.4,'Actual' greater than 'Forecast' is good for currency;,1,0,0
07.01.2019 09:00:00.00,EUR,Low Impact Expected,Retail Sales m/m,0.60%,0.20%,0.60%,1.14313,1.14317,1.14292,1.14313,248.97,'Actual' greater than 'Forecast' is good for currency;,1,0,0
07.01.2019 14:00:00.00,CAD,Medium Impact Expected,Ivey PMI,59.7,58.1,57.2,1.33502,1.33505,1.33457,1.33476,136.54,'Actual' greater than 'Forecast' is good for currency;,0,1,0
07.01.2019 14:00:00.00,USD,High Impact Expected,ISM Services PMI,57.6,59.6,60.7,1.14575,1.14576,1.14559,1.14564,480.57,'Actual' greater than 'Forecast' is good for currency;,0,0,1
07.01.2019 23:30:00.00,AUD,Medium Impact Expected,Trade Balance,1.93B,2.18B,2.01B,0.71462,0.71463,0.71461,0.71461,155.58,'Actual' greater than 'Forecast' is good for currency;,1,1,0
07.01.2019 23:30:00.00,AUD,Low Impact Expected,ANZ Job Advertisements m/m,0.00%,,-0.40%,0.71462,0.71463,0.71461,0.71461,155.58,'Actual' greater than 'Forecast' is good for currency;,1,1,0
08.01.2019 04:07:00.00,JPY,Low Impact Expected,Consumer Confidence,42.7,42.8,42.9,108.966,108.969,108.935,108.936,213.62,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 05:45:00.00,CHF,Low Impact Expected,Unemployment Rate,2.40%,2.40%,2.40%,0.98127,0.98127,0.98123,0.98123,38.15,'Actual' less than 'Forecast' is good for currency;,1,0,0
08.01.2019 06:00:00.00,EUR,Low Impact Expected,German Industrial Production m/m,-1.90%,0.30%,-0.80%,1.14436,1.14438,1.14420,1.14421,274.62,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 06:30:00.00,CHF,Low Impact Expected,Retail Sales y/y,-0.50%,-0.70%,1.00%,0.98046,0.98048,0.98039,0.98048,97.05,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 06:45:00.00,EUR,Low Impact Expected,French Trade Balance,-5.1B,-4.9B,-4.1B,1.14467,1.14468,1.14462,1.14467,186.35,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 07:30:00.00,GBP,Low Impact Expected,Halifax HPI m/m,2.20%,0.50%,-1.20%,1.27720,1.27755,1.27720,1.27742,223.7,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 09:20:00.00,USD,Low Impact Expected,NFIB Small Business Index,104.4,103.1,104.8,1.14515,1.14531,1.14515,1.14529,302.58,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 12:30:00.00,CAD,High Impact Expected,Trade Balance,-2.1B,-2.1B,-0.9B,1.32792,1.32793,1.32780,1.32783,60.61,'Actual' greater than 'Forecast' is good for currency;,0,0,1
08.01.2019 14:00:00.00,USD,Low Impact Expected,JOLTS Job Openings,6.89M,7.07M,7.13M,1.14274,1.14277,1.14248,1.14253,801.87,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 19:00:00.00,USD,Low Impact Expected,Consumer Credit m/m,22.1B,17.3B,25.0B,1.14409,1.14417,1.14406,1.14414,342.62,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 20:30:00.00,AUD,Low Impact Expected,AIG Services Index,52.1,,55.1,0.71380,0.71390,0.71375,0.71389,66.43,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 23:00:00.00,JPY,Medium Impact Expected,Average Cash Earnings y/y,2.00%,1.30%,1.50%,108.784,108.792,108.782,108.789,136.31,'Actual' greater than 'Forecast' is good for currency;,0,1,0
08.01.2019 23:00:00.00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-0.20%,,-0.50%,0.67221,0.67241,0.67219,0.67241,127.13,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 23:30:00.00,AUD,Medium Impact Expected,Building Approvals m/m,-9.10%,-0.30%,-1.50%,0.71430,0.71431,0.71420,0.71420,182.19,'Actual' greater than 'Forecast' is good for currency;,0,1,0
09.01.2019 06:00:00.00,EUR,Low Impact Expected,German Trade Balance,19.0B,17.9B,17.3B,1.14606,1.14607,1.14590,1.14592,153.97,'Actual' greater than 'Forecast' is good for currency;,1,0,0
09.01.2019 06:30:00.00,CHF,Low Impact Expected,CPI m/m,-0.30%,-0.20%,-0.30%,0.98107,0.98107,0.98103,0.98107,23.43,'Actual' greater than 'Forecast' is good for currency;,1,0,0
09.01.2019 07:00:00.00,CHF,Low Impact Expected,Foreign Currency Reserves,729B,,749B,0.98124,0.98139,0.98116,0.98136,69.08,'Actual' less than 'Forecast' is good for currency;,1,0,0
09.01.2019 08:00:00.00,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,10.50%,10.50%,10.60%,1.14657,1.14712,1.14651,1.14667,585.17,'Actual' less than 'Forecast' is good for currency;,1,0,0
09.01.2019 09:00:00.00,EUR,Low Impact Expected,Unemployment Rate,7.90%,8.10%,8.00%,1.14629,1.14640,1.14618,1.14636,523.58,'Actual' less than 'Forecast' is good for currency;,1,0,0
09.01.2019 12:13:00.00,CAD,Low Impact Expected,Housing Starts,213K,207K,224K,1.32343,1.32363,1.32343,1.32361,59.1,'Actual' greater than 'Forecast' is good for currency;,1,0,0
09.01.2019 14:00:00.00,CAD,High Impact Expected,Overnight Rate,1.75%,1.75%,1.75%,1.32461,1.32482,1.32448,1.32449,178.15,'Actual' greater than 'Forecast' is good for currency;,0,0,3
09.01.2019 14:30:00.00,USD,Low Impact Expected,Crude Oil Inventories,-1.7M,-2.4M,0.0M,1.14675,1.14724,1.14665,1.14706,828.08,'Actual' less than 'Forecast' is good for currency;,1,0,0
09.01.2019 23:01:00.00,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,-0.70%,-0.30%,-0.50%,1.27976,1.27988,1.27972,1.27981,292.95,'Actual' greater than 'Forecast' is good for currency;,1,0,0
10.01.2019 04:00:00.00,JPY,Low Impact Expected,Leading Indicators,99.30%,99.50%,99.60%,107.873,107.873,107.819,107.819,184.24,'Actual' greater than 'Forecast' is good for currency;,1,0,0
10.01.2019 06:45:00.00,EUR,Low Impact Expected,French Industrial Production m/m,-1.30%,0.00%,1.30%,1.15554,1.15558,1.15554,1.15556,112.5,'Actual' greater than 'Forecast' is good for currency;,1,0,0
10.01.2019 08:05:00.00,EUR,Low Impact Expected,Italian Retail Sales m/m,0.70%,0.20%,0.20%,1.15501,1.15533,1.15485,1.15506,646.56,'Actual' greater than 'Forecast' is good for currency;,1,0,0
10.01.2019 12:30:00.00,CAD,Low Impact Expected,Building Permits m/m,2.60%,-0.50%,-0.40%,1.32176,1.32176,1.32119,1.32125,143.28,'Actual' greater than 'Forecast' is good for currency;,2,0,0
10.01.2019 12:30:00.00,CAD,Low Impact Expected,NHPI m/m,0.00%,0.00%,0.00%,1.32176,1.32176,1.32119,1.32125,143.28,'Actual' greater than 'Forecast' is good for currency;,2,0,0
10.01.2019 12:30:00.00,USD,Low Impact Expected,Unemployment Claims,216K,226K,233K,1.15326,1.15354,1.15282,1.15351,402.61,'Actual' less than 'Forecast' is good for currency;,1,0,0
