AIG Manufacturing Index,'Actual' greater than 'Forecast' is good for currency;
Monetary Base y/y,'Actual' greater than 'Forecast' is good for currency;
German Factory Orders m/m,'Actual' greater than 'Forecast' is good for currency;
German Retail Sales m/m,'Actual' greater than 'Forecast' is good for currency;
Sentix Investor Confidence,'Actual' greater than 'Forecast' is good for currency;
Retail Sales m/m,'Actual' greater than 'Forecast' is good for currency;
Ivey PMI,'Actual' greater than 'Forecast' is good for currency;
ISM Services PMI,'Actual' greater than 'Forecast' is good for currency;
Trade Balance,'Actual' greater than 'Forecast' is good for currency;
ANZ Job Advertisements m/m,'Actual' greater than 'Forecast' is good for currency;
10-y Bond Auction,No consistent effect
Consumer Confidence,'Actual' greater than 'Forecast' is good for currency;
Unemployment Rate,'Actual' less than 'Forecast' is good for currency;
German Industrial Production m/m,'Actual' greater than 'Forecast' is good for currency;
Retail Sales y/y,'Actual' greater than 'Forecast' is good for currency;
French Trade Balance,'Actual' greater than 'Forecast' is good for currency;
Halifax HPI m/m,'Actual' greater than 'Forecast' is good for currency;
NFIB Small Business Index,'Actual' greater than 'Forecast' is good for currency;
JOLTS Job Openings,'Actual' greater than 'Forecast' is good for currency;
Consumer Credit m/m,'Actual' greater than 'Forecast' is good for currency;
AIG Services Index,'Actual' greater than 'Forecast' is good for currency;
Average Cash Earnings y/y,'Actual' greater than 'Forecast' is good for currency;
ANZ Commodity Prices m/m,'Actual' greater than 'Forecast' is good for currency;
Building Approvals m/m,'Actual' greater than 'Forecast' is good for currency;
President Trump Speaks,-
German Trade Balance,'Actual' greater than 'Forecast' is good for currency;
CPI m/m,'Actual' greater than 'Forecast' is good for currency;
Foreign Currency Reserves,'Actual' less than 'Forecast' is good for currency;
Italian Monthly Unemployment Rate,'Actual' less than 'Forecast' is good for currency;
German 10-y Bond Auction,No consistent effect
Housing Starts,'Actual' greater than 'Forecast' is good for currency;
FOMC Member Evans Speaks,-
BOC Monetary Policy Report,More hawkish than expected is good for currency;
BOC Rate Statement,More hawkish than expected is good for currency;
Overnight Rate,'Actual' greater than 'Forecast' is good for currency;
BOE Gov Carney Speaks,-
Crude Oil Inventories,'Actual' less than 'Forecast' is good for currency;
BOC Press Conference,More hawkish than expected is good for currency;
FOMC Member Rosengren Speaks,-
FOMC Meeting Minutes,More hawkish than expected is good for currency;
BRC Retail Sales Monitor y/y,'Actual' greater than 'Forecast' is good for currency;
CPI y/y,'Actual' greater than 'Forecast' is good for currency;
PPI y/y,'Actual' greater than 'Forecast' is good for currency;
30-y Bond Auction,No consistent effect
Leading Indicators,'Actual' greater than 'Forecast' is good for currency;
French Industrial Production m/m,'Actual' greater than 'Forecast' is good for currency;
Italian Retail Sales m/m,'Actual' greater than 'Forecast' is good for currency;
French 10-y Bond Auction,No consistent effect
ECB Monetary Policy Meeting Accounts,More hawkish than expected is good for currency;
Building Permits m/m,'Actual' greater than 'Forecast' is good for currency;
NHPI m/m,'Actual' greater than 'Forecast' is good for currency;
Unemployment Claims,'Actual' less than 'Forecast' is good for currency;
Natural Gas Storage,'Actual' less than 'Forecast' is good for currency;
FOMC Member Bullard Speaks,More hawkish than expected is good for currency;
Fed Chair Powell Speaks,More hawkish than expected is good for currency;
AIG Construction Index,'Actual' greater than 'Forecast' is good for currency;
Building Consents m/m,'Actual' greater than 'Forecast' is good for currency;
Household Spending y/y,'Actual' greater than 'Forecast' is good for currency;
Bank Lending y/y,'Actual' greater than 'Forecast' is good for currency;
Current Account,'Actual' greater than 'Forecast' is good for currency;
FOMC Member Clarida Speaks,-
Economy Watchers Sentiment,'Actual' greater than 'Forecast' is good for currency;
Italian Industrial Production m/m,'Actual' greater than 'Forecast' is good for currency;
GDP m/m,'Actual' greater than 'Forecast' is good for currency;
Manufacturing Production m/m,'Actual' greater than 'Forecast' is good for currency;
Construction Output m/m,'Actual' greater than 'Forecast' is good for currency;
Goods Trade Balance,'Actual' greater than 'Forecast' is good for currency;
Index of Services 3m/3m,'Actual' greater than 'Forecast' is good for currency;
Industrial Production m/m,'Actual' greater than 'Forecast' is good for currency;
Core CPI m/m,'Actual' greater than 'Forecast' is good for currency;
NIESR GDP Estimate,'Actual' greater than 'Forecast' is good for currency;
Bank Holiday,-
MI Inflation Gauge m/m,'Actual' greater than 'Forecast' is good for currency;
USD-Denominated Trade Balance,'Actual' greater than 'Forecast' is good for currency;
German WPI m/m,'Actual' greater than 'Forecast' is good for currency;
Foreign Direct Investment ytd/y,'Actual' greater than 'Forecast' is good for currency;
NZIER Business Confidence,'Actual' greater than 'Forecast' is good for currency;
FPI m/m,'Actual' greater than 'Forecast' is good for currency;
M2 Money Stock y/y,'Actual' greater than 'Forecast' is good for currency;
Prelim Machine Tool Orders y/y,'Actual' greater than 'Forecast' is good for currency;
French Final CPI m/m,'Actual' greater than 'Forecast' is good for currency;
French Gov Budget Balance,'Actual' less than 'Forecast' is good for currency;
M2 Money Supply y/y,'Actual' greater than 'Forecast' is good for currency;
New Loans,'Actual' greater than 'Forecast' is good for currency;
PPI m/m,'Actual' greater than 'Forecast' is good for currency;
Core PPI m/m,'Actual' greater than 'Forecast' is good for currency;
Empire State Manufacturing Index,'Actual' greater than 'Forecast' is good for currency;
GDT Price Index,'Actual' greater than 'Forecast' is good for currency;
ECB President Draghi Speaks,-
